"Data","Descrição","Categoria","Parcelas","Crédito","Débito","FOP","Situação"
"14/04/2022","Aparecida","Faxina"," -"," -","230","CCorrente Santander","Pago"
"19/04/2022","Santander","Juros"," -"," -","42,51","CCorrente Santander","Pago"
"20/04/2022","CVC Corp","Salário"," -","1392,08"," -","CCorrente Santander","Pago"
"20/04/2022","Gabe ","Alimentação"," -"," -","28","CCorrente Santander","Pago"
"26/04/2022","Nildete","Clé Concept"," -"," -","788,44","CCorrente Santander","Pago"
"25/04/2022","Pedro ","Air BNB"," -","800"," -","CCorrente Santander","Pago"
"05/05/2022","CVC Corp","Salário"," -","3438,18"," -","CCorrente Santander","Pago"
"04/05/2022","Santander	","Dívidas","14/45","","602","CCorrente Santander","Pago"
"02/05/2022","Cle Concept","Clé Concept"," -","1420"," -","CCorrente Santander","Pago"
"02/05/2022","IOF","Impostos","Mensal"," -","0,84","CCorrente Santander","Pago"
"02/05/2022","IOF","Impostos","Mensal"," -","11,29","CCorrente Santander","Pago"
"24/05/2022","Vivo Fibra","Assinatura","Mensal"," -","56,6","CCorrente Santander","Pago"
"24/05/2022","Viva Fibra","Air BNB","Mensal"," -","56,6","CCorrente Santander","Pago"
"06/05/2022","Escelsa","Air BNB","Mensal"," -","244,73","CCorrente Santander","Pago"
"06/05/2022","Escelsa","Energia","Mensal"," -","200","CCorrente Santander","Pago"
"09/05/2022","Air Bnb","Condomínio","Mensal"," -","232","CCorrente Santander","Pago"
"09/05/2022","Edf Maison Rio Branco","Air BNB","Mensal"," -","232","CCorrente Santander","Pago"
"17/05/2022","Vivo Gabriel","celular","Mensal"," -","44,99","CCorrente Santander","Pago"
"20/05/2022","Banco Original","Dívidas","05/24"," -","584,86","CCorrente Santander","Pago"
"24/05/2022","Air Bnb","IPTU","Mensal"," -","103,18","CCorrente Santander","Pago"
"17/05/2022","Vivo Pedro","Celular","Mensal"," -","47,98","CCorrente Santander","Pago"
"15/05/2022","Vivo Priscilla","Celular","Mensal"," -","44,99","CCorrente Santander","Pago"
"04/05/2022","Oticas Diniz","Cuidados Pessoais","8/10"," -","113","CCredito Nubank","Pago"
"04/05/2022","Oticas Diniz","cuidados Pessoais","6/10"," -","113","CCredito Nubank","Pago"
"04/05/2022","Spotfy","Assinatura","Mensal"," -","19,9","CCredito Nubank","Pago"
"04/05/2022","Globo Play","Assinatura","Mensal"," -","22,9","CCredito Nubank","Pago"
"04/05/2022","Google","Assinatura","Mensal"," -","6,99","CCredito Nubank","Pago"
"04/05/2022","Celular Ruy","Presente","5/6"," -","111,5","CCredito Nubank","Pago"
"04/05/2022","Insider","presente","2/2"," -","140","CCredito Nubank","Pago"
"04/05/2022","Estima Dog","Felinos","2/3"," -","84,29","CCredito Nubank","Pago"
"04/05/2022","Oyo Gabriel","Presente"," -"," -","108,48","CCredito Nubank","Pago"
"04/05/2022","Carone","Alimentação","1/2"," -","106,42","CCredito Nubank","Pago"
"04/05/2022","Anuncios","Sítio Boa vista"," -"," -","30,01","CCredito Nubank","Pago"
"04/05/2022","Estima Dog","Felinos"," -"," -","48,7","CCredito Nubank","Pago"
"04/05/2022","Banca ","Outros"," -"," -","29","CCredito Nubank","Pago"
"04/05/2022","Anuncios","Sítio Boa vista"," -"," -","30,11","CCredito Nubank","Pago"
"04/05/2022","Estima Dog","Felinos"," -"," -","29,9","CCredito Nubank","Pago"
"04/05/2022","Banca ","Outros"," -"," -","48","CCredito Nubank","Pago"
